id,title,organization,sector,location,skills,duration,stipend,type,mode
186,Product Design Intern,CivicLink Foundation,Design,Surat,AutoCAD|Canva|Digital Marketing|HTML|Photoshop|QGIS|Tally,3 months,14500,Startup,Offline
187,Spatial Data Intern,Insight Finance Group,GIS,Guwahati,ArcGIS|Illustrator|Power BI|QGIS,6 months,11000,PSU,Hybrid
188,Policy Research Intern,PolicyWorks India,Public Policy,Kolkata,CSS|Content Writing|Digital Marketing|Excel|Research|SolidWorks,2 months,6500,Govt,Offline
189,Solar Projects Intern,EduBridge Alliance,Renewable Energy,Ahmedabad,AutoCAD|Canva|Content Writing|Excel|Networking|Photoshop|Research|Tableau,3 months,3500,Private,Hybrid
190,Digital Governance Intern,EcoVision Energy,E-Governance,Bengaluru,C++|Excel|Python|Tally|UI/UX,1 month,8500,PSU,Online
191,Solar Projects Intern,BrightPath Designs,Renewable Energy,Indore,AutoCAD|C++|Canva|Excel|Research|Tableau,1 month,11000,Private,Online
192,Travel Operations Intern,HealthSphere Analytics,Tourism,Mumbai,Canva|Content Writing|Digital Marketing|Excel|Research|SEO,1 month,10000,PSU,Hybrid
193,Security Analyst Intern,Innovate Labs,Cybersecurity,Visakhapatnam,Excel|Networking|QGIS,1 month,5000,Govt,Online
194,Product Design Intern,EduBridge Alliance,Design,Surat,C++|Canva|Figma|Illustrator|Photoshop|Research,6 months,8500,NGO,Hybrid
195,Supply Chain Intern,HealthSphere Analytics,Logistics,Kochi,Excel|HTML|Photoshop|Power BI|QGIS|SQL,3 months,5000,Private,Hybrid
196,Digital Governance Intern,FutureWave Tech,E-Governance,Noida,CSS|Excel|Networking|Photoshop|Power BI|Research|Tableau,1 month,12000,PSU,Offline
197,Content Strategist Intern,EcoVision Energy,Media,Chandigarh,Canva|Python|React|SEO|Tally,2 months,3500,NGO,Online
198,Cyber Risk Intern,Insight Finance Group,Cybersecurity,Remote,Digital Marketing|Linux|Networking|Python|SEO|SolidWorks,1 month,13000,PSU,Hybrid
199,Compliance Intern,UrbanRise Solutions,Law,Delhi,C++|Content Writing|GST|Networking|Research|Typing,6 months,9000,Private,Hybrid
200,Civic Tech Intern (2),MapCraft GIS,E-Governance,Surat,Figma|GST|QGIS|Research|SQL,3 months,6500,Govt,Hybrid
201,Full Stack Intern,DataPulse Analytics,IT,Jaipur,AutoCAD|CSS|Java|R|React|SQL,1 month,14000,PSU,Online
202,Cyber Risk Intern,Insight Finance Group,Cybersecurity,Bengaluru,Data Entry|Linux|Networking|Python|QGIS|SEO|SPSS|SolidWorks|Typing,2 months,11500,Startup,Hybrid
203,Tour Planning Intern (2),PolicyWorks India,Tourism,Bhopal,C|C++|Canva|Content Writing|Digital Marketing|Excel|Tableau|Typing,2 months,4000,Govt,Hybrid
204,Legal Research Intern,TourEase Travels,Law,Gurugram,ArcGIS|C|Canva|Content Writing|Linux|Python|QGIS|Research,1 month,4000,Startup,Hybrid
205,Field Operations Intern,HealthSphere Analytics,Agriculture,Thiruvananthapuram,C|Data Entry|Linux|QGIS|Research|SPSS|SQL|Tableau|Typing,1 month,5000,PSU,Hybrid
206,Spatial Data Intern,DataPulse Analytics,GIS,Surat,ArcGIS|Canva|Excel|Java|Photoshop|SQL|UI/UX,1 month,14500,Startup,Online
207,Sustainability Intern,FutureWave Tech,Renewable Energy,Nagpur,C|Digital Marketing|Excel|Java|QGIS|Research,1 month,7000,PSU,Online
208,Agri Research Intern,Innovate Labs,Agriculture,Delhi,C++|GST|Illustrator|Power BI|Research|SolidWorks,2 months,13000,Govt,Hybrid
209,Digital Governance Intern,FutureWave Tech,E-Governance,Ranchi,AutoCAD|Excel|Java|Python|SQL|Tally|Typing,3 months,4000,NGO,Hybrid
210,Field Operations Intern,SecureNet Systems,Agriculture,Kolkata,Excel|Illustrator|Power BI|QGIS|Research|SPSS|Tableau,2 months,14500,Private,Online
211,Field Operations Intern,UrbanRise Solutions,Agriculture,Bhopal,C|Content Writing|Figma|SPSS|Tableau|Typing|UI/UX,6 months,7500,Private,Hybrid
212,Solar Projects Intern,DataPulse Analytics,Renewable Energy,Gurugram,AutoCAD|Data Entry|Digital Marketing|Excel|Linux|Networking|Photoshop|SPSS,3 months,3000,Startup,Hybrid
213,Cyber Risk Intern,Spectrum Media House,Cybersecurity,Raipur,C++|Illustrator|JavaScript|Linux|Networking|Python|React,2 months,12500,Startup,Online
214,Travel Operations Intern,Skyline Innovations,Tourism,Thiruvananthapuram,Canva|Data Entry|Digital Marketing|Excel|GST|Photoshop|SPSS|SQL,6 months,14500,Startup,Hybrid
215,Finance Analyst Intern,DataPulse Analytics,Finance,Remote,Content Writing|Excel|Photoshop|Power BI|Python|SPSS,3 months,6500,NGO,Online
216,Business Intelligence Intern,Spectrum Media House,Data Analytics,Ahmedabad,C++|Figma|HTML|Linux|R|SEO|Tableau,2 months,5500,Govt,Hybrid
217,Spatial Data Intern,BrightPath Designs,GIS,Jaipur,C|C++|QGIS|SPSS|Tally,3 months,3000,NGO,Offline
218,Business Intelligence Intern,Skyline Innovations,Data Analytics,Chennai,ArcGIS|AutoCAD|Power BI|Python|React|SPSS|SolidWorks|Typing,2 months,12000,Private,Hybrid
219,Graphic Design Intern,BrightPath Designs,Design,Noida,AutoCAD|Canva|Data Entry|Excel|SQL,3 months,5000,Private,Offline
220,Policy Research Intern,Innovate Labs,Public Policy,Mysuru,C|Content Writing|Excel|Photoshop|Python|React,3 months,5500,Private,Hybrid
221,Content Strategist Intern,LexGuard Associates,Media,Mumbai,C++|Canva|Content Writing|Data Entry|Digital Marketing|Excel|SEO,3 months,11500,Private,Offline
222,Investment Research Intern,BrightPath Designs,Finance,Ranchi,Data Entry|Java|JavaScript|SEO|Tally|UI/UX,2 months,10000,Govt,Hybrid
223,Product Design Intern,EduBridge Alliance,Design,Chandigarh,ArcGIS|Digital Marketing|JavaScript|UI/UX,1 month,6500,NGO,Offline
224,Healthcare Data Intern,Spectrum Media House,Healthcare,Visakhapatnam,AutoCAD|C|Excel|R|Research|Typing,1 month,11500,Private,Hybrid
225,Legal Research Intern,HealthSphere Analytics,Law,Thiruvananthapuram,ArcGIS|Content Writing|Research|SPSS|Tableau|Typing,3 months,4000,NGO,Offline
226,Clinical Research Intern,BrightPath Designs,Healthcare,Pune,Canva|Content Writing|Linux|Python|SPSS|Typing,1 month,7000,Startup,Offline
227,Product Design Intern,Insight Finance Group,Design,Remote,HTML|JavaScript|Photoshop|QGIS|SQL|Typing,6 months,7000,NGO,Hybrid
228,Civic Tech Intern,Spectrum Media House,E-Governance,Hyderabad,Content Writing|Excel|JavaScript|SEO|Typing,3 months,8500,Private,Online
229,Supply Chain Intern,UrbanRise Solutions,Logistics,Pune,Excel|HTML|Networking|Power BI|SQL|Tableau|Typing,2 months,10000,Govt,Hybrid
230,Agri Research Intern,Spectrum Media House,Agriculture,Kochi,ArcGIS|AutoCAD|Data Entry|Excel|Networking|Power BI|React|SPSS,2 months,8500,Startup,Offline
231,Operations Intern,NextGen Logistics,Logistics,Guwahati,CSS|Excel|GST|JavaScript|Power BI|SQL|Tableau|Tally,3 months,14000,Startup,Hybrid
232,Finance Analyst Intern,FutureWave Tech,Finance,Chennai,C|Figma|Photoshop|Python|Tally,6 months,3000,Private,Online
233,Academic Research Intern,NextGen Logistics,Education,Nagpur,Content Writing|Data Entry|Excel|Tableau|Tally,2 months,3000,Private,Hybrid
234,Security Analyst Intern,EcoVision Energy,Cybersecurity,Kolkata,Figma|Linux|React|Tally,1 month,4000,Startup,Hybrid
235,Graphic Design Intern,FutureWave Tech,Design,Bengaluru,GST|Illustrator|Photoshop|Research|UI/UX,6 months,11500,PSU,Hybrid
236,Policy Research Intern,DataPulse Analytics,Public Policy,Kolkata,C++|Excel|Photoshop|Research|SolidWorks|UI/UX,6 months,14000,Private,Offline
237,Healthcare Data Intern,AgriNova Collective,Healthcare,Ahmedabad,Canva|Digital Marketing|Excel|HTML|Linux|Research|SPSS|Tally,3 months,6500,PSU,Online
238,Academic Research Intern,NextGen Logistics,Education,Remote,Excel|HTML|Photoshop|React|Research,1 month,12500,Private,Hybrid
239,Tour Planning Intern,Spectrum Media House,Tourism,Bhopal,CSS|Content Writing|Excel|QGIS|SPSS,6 months,4000,Startup,Hybrid
240,Governance Analyst Intern,BrightPath Designs,Public Policy,Ahmedabad,Canva|Content Writing|Digital Marketing|Excel|HTML|Networking|Python|Research|SQL,6 months,3500,Private,Hybrid
241,Graphic Design Intern,HealthSphere Analytics,Design,Delhi,Canva|Illustrator|Linux|Photoshop|Research|SEO|Typing|UI/UX,3 months,6500,PSU,Hybrid
242,Digital Governance Intern,Spectrum Media House,E-Governance,Remote,Excel|JavaScript|Networking|Python|React|UI/UX,3 months,13500,Startup,Online
243,Learning Design Intern,LexGuard Associates,Education,Thiruvananthapuram,Content Writing|Data Entry|Networking|Research|SQL|Typing,1 month,5000,Private,Online
244,GIS Mapping Intern,HealthSphere Analytics,GIS,Kochi,ArcGIS|AutoCAD|Digital Marketing|JavaScript|QGIS|SPSS|Tableau,1 month,5000,Startup,Hybrid
245,Civic Tech Intern,HealthSphere Analytics,E-Governance,Ranchi,Excel|JavaScript|Power BI|SEO|SQL|SolidWorks|Tally,2 months,3500,PSU,Offline
246,Graphic Design Intern,EcoVision Energy,Design,Visakhapatnam,ArcGIS|GST|Networking|Photoshop|R|SPSS|SolidWorks,3 months,10500,Govt,Hybrid
247,Full Stack Intern,HealthSphere Analytics,IT,Visakhapatnam,CSS|HTML|JavaScript|Power BI|SEO|SPSS|SQL|Tally,2 months,7500,Startup,Hybrid
248,Sustainability Intern,Spectrum Media House,Renewable Energy,Bengaluru,AutoCAD|Content Writing|Excel|GST|Networking|Research|SQL,2 months,13000,PSU,Online
249,Operations Intern,TourEase Travels,Logistics,Indore,Excel|HTML|Linux|Photoshop|Power BI|SQL|UI/UX,2 months,8000,PSU,Offline
250,Social Media Intern,UrbanRise Solutions,Media,Remote,C|Content Writing|Digital Marketing|Linux|Research|SEO|Tableau|Typing,2 months,11000,Startup,Hybrid
251,Investment Research Intern,Spectrum Media House,Finance,Delhi,ArcGIS|AutoCAD|Figma|GST|Power BI|Python,6 months,10500,Startup,Online
252,Solar Projects Intern,BrightPath Designs,Renewable Energy,Remote,ArcGIS|AutoCAD|Excel|JavaScript|Photoshop|Research,1 month,4000,PSU,Online
253,Policy Research Intern,LexGuard Associates,Public Policy,Mysuru,CSS|Content Writing|Excel|Illustrator|Networking|Research|Typing,1 month,8500,NGO,Offline
254,Academic Research Intern,EduBridge Alliance,Education,Delhi,Content Writing|Digital Marketing|Excel|GST|JavaScript|QGIS|Research|SEO|SQL,6 months,11500,NGO,Offline
255,Travel Operations Intern,Insight Finance Group,Tourism,Thiruvananthapuram,C++|Content Writing|JavaScript|Python|R,6 months,10500,NGO,Hybrid
256,Healthcare Data Intern,Innovate Labs,Healthcare,Chandigarh,AutoCAD|C++|Python|Research|SEO|SPSS|SolidWorks|Typing,3 months,5000,PSU,Online
257,Social Media Intern,Innovate Labs,Media,Raipur,Canva|Content Writing|Digital Marketing|Illustrator|Linux|React|SEO|Tableau,1 month,12500,Govt,Hybrid
258,Legal Research Intern,Insight Finance Group,Law,Bengaluru,AutoCAD|Content Writing|Digital Marketing|GST|Research|SEO|SolidWorks,2 months,12000,Govt,Offline
259,Spatial Data Intern,Skyline Innovations,GIS,Gurugram,ArcGIS|C|Excel|QGIS|SPSS|SolidWorks,6 months,7000,PSU,Hybrid
260,Agri Research Intern,NextGen Logistics,Agriculture,Kochi,Excel|Power BI|Research|SPSS|SQL|Tableau|Typing,1 month,5500,NGO,Hybrid
261,Clinical Research Intern,TourEase Travels,Healthcare,Hyderabad,Data Entry|Excel|JavaScript|Python|SPSS|SolidWorks|Typing,6 months,15000,PSU,Online
262,Civic Tech Intern,EcoVision Energy,E-Governance,Jaipur,Data Entry|Excel|Illustrator|Networking|QGIS|Research|SPSS|SQL|Tableau,1 month,5000,Govt,Hybrid
263,Policy Research Intern (2),FutureWave Tech,Public Policy,Delhi,Content Writing|Excel|HTML|Photoshop|React|Research,2 months,3000,Private,Online
264,Data Analyst Intern,NextGen Logistics,Data Analytics,Chennai,C++|SQL|Tableau|Tally,3 months,4500,PSU,Hybrid
265,Legal Research Intern,AgriNova Collective,Law,Guwahati,C|C++|Content Writing|Figma|QGIS|Research|Tableau,6 months,15000,PSU,Hybrid
266,Policy Research Intern,CivicLink Foundation,Public Policy,Bhopal,AutoCAD|Content Writing|Excel|Figma|Research|UI/UX,2 months,5000,Startup,Online
267,Spatial Data Intern,HealthSphere Analytics,GIS,Ranchi,Data Entry|Excel|JavaScript|Python|QGIS,3 months,11000,Private,Online
268,Content Strategist Intern,GreenGrowth Initiatives,Media,Noida,Digital Marketing|JavaScript|R|Research,2 months,10000,NGO,Hybrid
269,Agri Research Intern,CivicLink Foundation,Agriculture,Hyderabad,C++|Excel|Linux|QGIS|React,3 months,15000,PSU,Online
270,Cyber Risk Intern,EduBridge Alliance,Cybersecurity,Remote,Linux|Research|SEO|SQL|SolidWorks,6 months,7000,Private,Online
271,GIS Mapping Intern,Innovate Labs,GIS,Indore,ArcGIS|Digital Marketing|Figma|Python|QGIS|Typing,2 months,4000,PSU,Online
272,Civic Tech Intern,TourEase Travels,E-Governance,Ahmedabad,ArcGIS|CSS|Excel|JavaScript|Python|Research|Tableau,2 months,11000,Private,Online
273,Finance Analyst Intern,EduBridge Alliance,Finance,Remote,Digital Marketing|Excel|Java|Power BI|Python|SEO|SQL,6 months,3500,Private,Hybrid
274,Supply Chain Intern,BrightPath Designs,Logistics,Surat,AutoCAD|Data Entry|Excel|Figma|Networking|Power BI|Tableau|Tally,1 month,3000,PSU,Offline
275,Investment Research Intern,BrightPath Designs,Finance,Nagpur,AutoCAD|GST|Illustrator|Java|Power BI|SEO,2 months,8500,Startup,Online
276,Academic Research Intern,Spectrum Media House,Education,Nagpur,Content Writing|Excel|Java|Research|SQL,3 months,3000,NGO,Offline
277,Graphic Design Intern,DataPulse Analytics,Design,Bhopal,CSS|Canva|Linux|Networking|Photoshop|Power BI|React|SPSS|UI/UX,6 months,10500,Startup,Hybrid
278,Healthcare Data Intern,CivicLink Foundation,Healthcare,Kolkata,Excel|Linux|QGIS|Research|SPSS,3 months,9000,Startup,Hybrid
279,Security Analyst Intern,LexGuard Associates,Cybersecurity,Visakhapatnam,C|Excel|Figma|Networking|Python|React|SQL,1 month,7000,Private,Hybrid
280,Governance Analyst Intern,SecureNet Systems,Public Policy,Hyderabad,CSS|Content Writing|Excel|GST|Java|R|Research|SPSS,3 months,12500,Govt,Online
281,Compliance Intern,Insight Finance Group,Law,Gurugram,C|Content Writing|Figma|Java|R|React|Research|SolidWorks,3 months,3000,NGO,Online
282,Graphic Design Intern,Spectrum Media House,Design,Remote,Canva|Figma|QGIS|SEO|SPSS|Tally|UI/UX,1 month,9500,PSU,Hybrid
283,Civic Tech Intern,PolicyWorks India,E-Governance,Guwahati,C|Canva|Excel|JavaScript,1 month,7500,PSU,Offline
284,Content Strategist Intern,Skyline Innovations,Media,Lucknow,Canva|Content Writing|HTML|Photoshop|SEO,6 months,10000,Startup,Online
285,Governance Analyst Intern,UrbanRise Solutions,Public Policy,Pune,AutoCAD|C++|Content Writing|Data Entry|Excel|Research,3 months,10500,Private,Offline
286,Content Strategist Intern,DataPulse Analytics,Media,Thiruvananthapuram,Content Writing|Digital Marketing|Figma|HTML|Networking|UI/UX,2 months,7500,Private,Hybrid
287,Learning Design Intern,HealthSphere Analytics,Education,Kolkata,AutoCAD|C++|Content Writing|Excel|Networking|R|Research|SEO,3 months,13500,PSU,Online
288,Learning Design Intern,PolicyWorks India,Education,Mumbai,Excel|Python|SQL|SolidWorks|UI/UX,6 months,14000,NGO,Offline
289,Sustainability Intern,TourEase Travels,Renewable Energy,Thiruvananthapuram,AutoCAD|C++|Data Entry|Digital Marketing|Excel|QGIS|R|React|Research,1 month,8000,Govt,Online
290,Software Intern,HealthSphere Analytics,IT,Jaipur,Content Writing|Data Entry|HTML|QGIS|React|SQL|Tally,1 month,10500,Startup,Hybrid
291,Field Operations Intern,EcoVision Energy,Agriculture,Kolkata,C++|CSS|Canva|Content Writing|GST|HTML|Research|SPSS,6 months,4500,Govt,Hybrid
292,Business Intelligence Intern,Insight Finance Group,Data Analytics,Bengaluru,Excel|JavaScript|Power BI|Python|R|React|SEO|SPSS,6 months,5000,Startup,Online
293,Civic Tech Intern,EduBridge Alliance,E-Governance,Raipur,Content Writing|Excel|Illustrator|Java|QGIS|SQL,6 months,10000,Startup,Online
294,Tour Planning Intern,NextGen Logistics,Tourism,Bengaluru,Content Writing|Networking|R|Research|SEO|SPSS|UI/UX,1 month,12500,Private,Online
295,Supply Chain Intern,Skyline Innovations,Logistics,Ranchi,CSS|Figma|HTML|Power BI|React,1 month,7500,PSU,Offline
296,Supply Chain Intern,DataPulse Analytics,Logistics,Bengaluru,C++|CSS|Digital Marketing|JavaScript|Power BI|SEO|SQL|Typing,1 month,10500,Govt,Offline
297,Solar Projects Intern,Insight Finance Group,Renewable Energy,Mysuru,C|Excel|Networking|Power BI|R|React|Research|SQL,3 months,9500,PSU,Online
298,Finance Analyst Intern,LexGuard Associates,Finance,Remote,Illustrator|Java|Power BI|Python|SQL,3 months,13500,Startup,Offline
299,Supply Chain Intern,PolicyWorks India,Logistics,Remote,Linux|React|SQL|Typing,1 month,12000,Startup,Offline
300,Sustainability Intern (2),Spectrum Media House,Renewable Energy,Bengaluru,AutoCAD|Java|Photoshop|SQL,1 month,12500,PSU,Offline
301,Solar Projects Intern,LexGuard Associates,Renewable Energy,Pune,AutoCAD|Excel|Python|R|Research|Typing|UI/UX,3 months,8000,PSU,Offline
302,Governance Analyst Intern,Skyline Innovations,Public Policy,Kochi,Content Writing|Digital Marketing|Excel|GST|Networking|R|Research,3 months,12500,Govt,Online
303,Civic Tech Intern,HealthSphere Analytics,E-Governance,Remote,C++|Canva|Excel|Figma|GST|Research|SQL|UI/UX,3 months,13500,NGO,Hybrid
304,Supply Chain Intern,UrbanRise Solutions,Logistics,Hyderabad,ArcGIS|Digital Marketing|Java|SPSS|SQL,6 months,7500,Private,Hybrid
305,Supply Chain Intern,EduBridge Alliance,Logistics,Jaipur,Excel|Illustrator|Linux|SQL|Tableau|UI/UX,3 months,5500,NGO,Offline
306,Data Analyst Intern,NextGen Logistics,Data Analytics,Remote,Power BI|R|SPSS|SQL,2 months,9500,PSU,Hybrid
307,Tour Planning Intern,UrbanRise Solutions,Tourism,Nagpur,Content Writing|Digital Marketing|Excel|R|SEO,2 months,5000,Startup,Offline
308,Digital Governance Intern,BrightPath Designs,E-Governance,Delhi,Excel|Java|Linux|Photoshop|Python|SQL|SolidWorks,3 months,10500,Govt,Hybrid
309,Content Strategist Intern,NextGen Logistics,Media,Nagpur,ArcGIS|C++|CSS|Content Writing|Excel|Photoshop|SPSS,1 month,14500,PSU,Online
310,Content Strategist Intern,LexGuard Associates,Media,Chandigarh,Canva|Content Writing|Digital Marketing|QGIS|React|Tally,2 months,11500,NGO,Hybrid
311,GIS Mapping Intern,DataPulse Analytics,GIS,Gurugram,ArcGIS|C++|Excel|Figma|GST|HTML|JavaScript|QGIS|Research,3 months,14000,Startup,Offline
312,Social Media Intern,CivicLink Foundation,Media,Thiruvananthapuram,AutoCAD|Canva|Digital Marketing|Illustrator|JavaScript|SEO|Tableau,1 month,10000,Govt,Hybrid
313,Travel Operations Intern,PolicyWorks India,Tourism,Nagpur,C++|Content Writing|GST|QGIS|SolidWorks|Tableau,3 months,4500,Govt,Online
314,Academic Research Intern,SecureNet Systems,Education,Surat,ArcGIS|Content Writing|Excel|Java|Power BI|Python|Research,2 months,14500,Startup,Hybrid
315,Graphic Design Intern,DataPulse Analytics,Design,Patna,AutoCAD|GST|HTML|Illustrator|JavaScript|Photoshop|Power BI,3 months,6500,Private,Hybrid
316,Civic Tech Intern,PolicyWorks India,E-Governance,Noida,ArcGIS|C++|Java|Photoshop|Python|React|Research|SQL|Typing,1 month,5000,NGO,Online
317,Civic Tech Intern,Innovate Labs,E-Governance,Patna,C|Digital Marketing|Java|QGIS|SQL|SolidWorks,3 months,5000,NGO,Online
318,Clinical Research Intern,UrbanRise Solutions,Healthcare,Raipur,Canva|Excel|Python|R|Typing,2 months,11000,Startup,Hybrid
319,Solar Projects Intern,Insight Finance Group,Renewable Energy,Gurugram,AutoCAD|C|C++|Excel|Research|SPSS,3 months,13000,Startup,Online
320,Academic Research Intern,EcoVision Energy,Education,Gurugram,C|Canva|Content Writing|Photoshop|Research,6 months,11000,PSU,Hybrid
321,Policy Research Intern,TourEase Travels,Public Policy,Mysuru,Excel|Photoshop|Research|Tally,6 months,8500,Private,Online
322,Investment Research Intern,MapCraft GIS,Finance,Patna,C++|Excel|Java|QGIS|Tally,1 month,4500,Govt,Online
323,Sustainability Intern,TourEase Travels,Renewable Energy,Gurugram,AutoCAD|C++|CSS|Content Writing|Linux|Research|SEO,6 months,12500,Startup,Offline
324,Agri Research Intern,AgriNova Collective,Agriculture,Lucknow,AutoCAD|HTML|JavaScript|Python|SPSS|Tally|Typing,6 months,14500,Private,Hybrid
325,Security Analyst Intern,Insight Finance Group,Cybersecurity,Bengaluru,C++|CSS|Linux|Networking|Python|R|Research|SEO|Tally,6 months,3500,NGO,Hybrid
326,Governance Analyst Intern,UrbanRise Solutions,Public Policy,Mysuru,ArcGIS|Excel|QGIS|Tableau,2 months,6000,NGO,Offline
327,Business Intelligence Intern,AgriNova Collective,Data Analytics,Nagpur,AutoCAD|CSS|Linux|R|Tableau,1 month,13500,Startup,Online
328,Spatial Data Intern,Spectrum Media House,GIS,Gurugram,ArcGIS|Java|JavaScript|QGIS|Typing,6 months,14000,Private,Online
329,Civic Tech Intern,FutureWave Tech,E-Governance,Lucknow,Canva|Digital Marketing|Excel|GST|Linux|Python|R|Research|Tally,3 months,13500,Private,Hybrid
330,Solar Projects Intern,UrbanRise Solutions,Renewable Energy,Delhi,Content Writing|Excel|Photoshop|Research|SPSS|Tableau,1 month,4000,Startup,Offline
331,Social Media Intern,DataPulse Analytics,Media,Kolkata,Excel|Networking|Power BI|React|SEO,1 month,10500,Startup,Offline
332,Solar Projects Intern,NextGen Logistics,Renewable Energy,Thiruvananthapuram,AutoCAD|JavaScript|Power BI|React|Research|SEO|SolidWorks,3 months,12000,Private,Online
333,Software Intern,SecureNet Systems,IT,Chennai,C|Digital Marketing|Linux|R|React,3 months,11500,Govt,Hybrid
334,Business Intelligence Intern,DataPulse Analytics,Data Analytics,Indore,C|Excel|R|SQL|SolidWorks,3 months,5500,NGO,Offline
335,Travel Operations Intern,EduBridge Alliance,Tourism,Kochi,AutoCAD|Content Writing|Digital Marketing|Excel|JavaScript|Python|SEO,3 months,12500,Private,Online
336,GIS Mapping Intern,AgriNova Collective,GIS,Remote,ArcGIS|AutoCAD|C++|Excel|Figma|SQL|UI/UX,2 months,14000,NGO,Online
337,IT Support Intern,Spectrum Media House,IT,Remote,C|CSS|Networking|React|UI/UX,2 months,5000,NGO,Offline
338,Social Media Intern,FutureWave Tech,Media,Raipur,ArcGIS|CSS|Canva|Content Writing|Java|SEO|SolidWorks|UI/UX,2 months,3000,Startup,Hybrid
339,Operations Intern,AgriNova Collective,Logistics,Noida,HTML|Illustrator|Power BI|React|SQL,1 month,4500,Govt,Hybrid
340,Operations Intern,NextGen Logistics,Logistics,Bhopal,ArcGIS|Excel|Illustrator|Linux|Power BI|React|SQL,1 month,8000,Private,Online
341,Agri Research Intern,BrightPath Designs,Agriculture,Jaipur,C++|Data Entry|Java|Python|R|SQL|SolidWorks,2 months,13500,PSU,Online
342,Legal Research Intern,TourEase Travels,Law,Ranchi,Content Writing|JavaScript|Python|SPSS,1 month,12500,PSU,Offline
343,Learning Design Intern,GreenGrowth Initiatives,Education,Remote,Content Writing|Data Entry|Excel|Python|React|Research|SEO|Tableau,1 month,12500,Govt,Online
344,Solar Projects Intern,PolicyWorks India,Renewable Energy,Kolkata,AutoCAD|C|Content Writing|Excel|GST|HTML|Research|SQL|SolidWorks,3 months,7000,NGO,Online
345,Investment Research Intern,Skyline Innovations,Finance,Remote,Content Writing|Digital Marketing|Excel|Illustrator|React|Tally|Typing,2 months,11000,NGO,Hybrid
346,Healthcare Data Intern,GreenGrowth Initiatives,Healthcare,Kochi,CSS|JavaScript|Research|SQL|Tableau|Tally,1 month,6000,NGO,Offline
347,Spatial Data Intern,Innovate Labs,GIS,Guwahati,ArcGIS|C++|Excel|Illustrator|Power BI|QGIS|UI/UX,3 months,14500,Govt,Hybrid
348,Tour Planning Intern,MapCraft GIS,Tourism,Bhopal,Content Writing|Digital Marketing|Excel|Figma|Java|SEO|Typing,2 months,8500,Govt,Offline
349,Business Intelligence Intern,Innovate Labs,Data Analytics,Remote,ArcGIS|CSS|Figma|Tableau,1 month,9000,NGO,Offline
350,Full Stack Intern,EcoVision Energy,IT,Chennai,ArcGIS|CSS|Data Entry|Java|Linux|Tableau|UI/UX,3 months,5000,Startup,Offline
351,Agri Research Intern,LexGuard Associates,Agriculture,Nagpur,ArcGIS|CSS|R|SPSS|Tally,2 months,12500,Startup,Offline
352,Data Analyst Intern,NextGen Logistics,Data Analytics,Mumbai,AutoCAD|Digital Marketing|Excel|HTML|Networking|React|Tableau,3 months,11500,PSU,Online
353,Compliance Intern,TourEase Travels,Law,Surat,Illustrator|Power BI|React|Research,1 month,8500,NGO,Hybrid
354,Compliance Intern,AgriNova Collective,Law,Mumbai,C++|Canva|Content Writing|React|Research,2 months,8500,NGO,Online
355,Business Intelligence Intern,EcoVision Energy,Data Analytics,Chennai,Figma|Illustrator|Python|R|Tableau|UI/UX,3 months,8000,Govt,Offline
356,Governance Analyst Intern,NextGen Logistics,Public Policy,Kolkata,ArcGIS|Excel|QGIS|UI/UX,1 month,11000,Private,Offline
357,Security Analyst Intern,LexGuard Associates,Cybersecurity,Ahmedabad,Content Writing|Linux|Networking|Python|SEO|SQL,3 months,11000,NGO,Online
358,Full Stack Intern,AgriNova Collective,IT,Kolkata,C|CSS|Excel|HTML|Java|JavaScript|Python|Tally,1 month,15000,PSU,Hybrid
359,Spatial Data Intern,UrbanRise Solutions,GIS,Surat,ArcGIS|Excel|GST|Illustrator|Python|SQL,3 months,6000,Private,Offline
360,Academic Research Intern,EduBridge Alliance,Education,Bhopal,C++|CSS|Content Writing|Research|SEO|SPSS,2 months,10500,NGO,Hybrid
361,Finance Analyst Intern,PolicyWorks India,Finance,Gurugram,ArcGIS|HTML|JavaScript|QGIS|R|SPSS|Tally,2 months,14000,PSU,Offline
362,Business Intelligence Intern,Spectrum Media House,Data Analytics,Nagpur,C++|CSS|Excel|HTML|Illustrator|Power BI|Python|SQL,2 months,3500,Govt,Hybrid
363,Compliance Intern,BrightPath Designs,Law,Hyderabad,AutoCAD|CSS|Digital Marketing|Java|Networking|Research,1 month,12000,Startup,Online
364,Solar Projects Intern,DataPulse Analytics,Renewable Energy,Delhi,ArcGIS|AutoCAD|Canva|Excel|Python|Tableau|Tally,2 months,12500,NGO,Online
365,Solar Projects Intern,Skyline Innovations,Renewable Energy,Kochi,ArcGIS|AutoCAD|Data Entry|Digital Marketing|Excel|Java|Python|Research,6 months,10500,NGO,Online
366,Legal Research Intern,LexGuard Associates,Law,Kolkata,C|Content Writing|GST|JavaScript|R,6 months,13000,Govt,Offline
367,Clinical Research Intern,SecureNet Systems,Healthcare,Hyderabad,AutoCAD|Excel|SPSS|SolidWorks|Tableau,6 months,12000,Private,Online
368,Legal Research Intern,DataPulse Analytics,Law,Visakhapatnam,Content Writing|Linux|Networking|Python|Research,1 month,4500,Startup,Hybrid
