id,title,organization,sector,location,skills,duration,stipend,type,mode
186,Compliance Intern,CivicLink Foundation,Law,Visakhapatnam,Canva|Content Writing|Excel|Figma|Research|SPSS,6 months,4000,Govt,Online
187,Digital Governance Intern,EduBridge Alliance,E-Governance,Kolkata,Canva|Digital Marketing|Networking|Power BI|Python|QGIS|Research|SQL,3 months,13000,PSU,Hybrid
188,Academic Research Intern,MapCraft GIS,Education,Bhopal,Content Writing|Excel|Figma|Illustrator|Java|Power BI|SEO|Tableau,6 months,5500,NGO,Offline
189,Graphic Design Intern (2),EduBridge Alliance,Design,Jaipur,ArcGIS|Canva|Content Writing|Linux|QGIS|SPSS|UI/UX,2 months,14500,Private,Hybrid
190,Governance Analyst Intern,TourEase Travels,Public Policy,Nagpur,AutoCAD|Content Writing|Excel|GST|Illustrator|Photoshop|Python|Research|Tableau,2 months,6500,Govt,Offline
191,Graphic Design Intern,SecureNet Systems,Design,Lucknow,C|Canva|Content Writing|Digital Marketing|Illustrator|Power BI|React|UI/UX,3 months,7000,NGO,Online
192,Healthcare Data Intern,PolicyWorks India,Healthcare,Gurugram,C|Excel|HTML|Python,3 months,5000,NGO,Online
193,Solar Projects Intern,HealthSphere Analytics,Renewable Energy,Bengaluru,ArcGIS|AutoCAD|Excel|Power BI|Python|Research|SolidWorks,3 months,9000,NGO,Offline
194,Investment Research Intern,NextGen Logistics,Finance,Jaipur,AutoCAD|C|Excel|Java|Photoshop|SQL|Tableau,2 months,8000,Startup,Offline
195,Finance Analyst Intern,Spectrum Media House,Finance,Nagpur,C++|GST|Java|SPSS|Tally|UI/UX,6 months,5500,Startup,Hybrid
196,Security Analyst Intern,CivicLink Foundation,Cybersecurity,Gurugram,C++|Content Writing|Figma|Illustrator|Linux|QGIS,2 months,14500,Private,Offline
197,Product Design Intern,BrightPath Designs,Design,Chennai,ArcGIS|CSS|Canva|Illustrator|Photoshop|Python|Tableau,2 months,9500,Govt,Hybrid
198,Tour Planning Intern,NextGen Logistics,Tourism,Ranchi,CSS|Digital Marketing|JavaScript|SolidWorks,6 months,11000,Govt,Online
199,Policy Research Intern,TourEase Travels,Public Policy,Remote,C|Content Writing|Excel|Illustrator|R|React|Research,2 months,3000,PSU,Online
200,IT Support Intern,UrbanRise Solutions,IT,Mysuru,Canva|JavaScript|Linux|Networking|Python|SPSS|SQL|SolidWorks,1 month,4500,PSU,Hybrid
201,Graphic Design Intern,MapCraft GIS,Design,Mumbai,GST|HTML|Illustrator|Photoshop|SEO|UI/UX,6 months,5500,Govt,Offline
202,Governance Analyst Intern,NextGen Logistics,Public Policy,Mumbai,AutoCAD|Canva|Content Writing|Digital Marketing|Excel|Research|SQL|Tally,6 months,6500,Startup,Online
203,Social Media Intern,BrightPath Designs,Media,Kolkata,ArcGIS|AutoCAD|Data Entry|Research|SEO|UI/UX,1 month,3000,Govt,Online
204,Operations Intern,Innovate Labs,Logistics,Gurugram,Excel|Java|Linux|Power BI|Python|SEO|SQL,2 months,13500,Startup,Offline
205,Sustainability Intern,BrightPath Designs,Renewable Energy,Kolkata,C|GST|JavaScript|Research|SEO|Tableau,3 months,9500,NGO,Hybrid
206,Supply Chain Intern,PolicyWorks India,Logistics,Visakhapatnam,ArcGIS|Excel|HTML|Photoshop|Power BI|SQL|UI/UX,1 month,6000,Startup,Online
207,Operations Intern,AgriNova Collective,Logistics,Pune,Data Entry|Figma|Linux|Power BI|React|SPSS,6 months,15000,NGO,Hybrid
208,Social Media Intern,HealthSphere Analytics,Media,Kochi,Content Writing|Digital Marketing|Excel|Figma|Python|R|SEO,6 months,5500,Startup,Online
209,Agri Research Intern,Skyline Innovations,Agriculture,Bengaluru,CSS|Java|QGIS|SPSS|UI/UX,3 months,12500,Govt,Online
210,Cyber Risk Intern,NextGen Logistics,Cybersecurity,Pune,Linux|Networking|Python|R|Research|Tableau,1 month,14000,Private,Hybrid
211,Investment Research Intern,AgriNova Collective,Finance,Mumbai,C++|Excel|HTML|Java|Python|QGIS|SolidWorks|Typing,6 months,4500,Private,Offline
212,Field Operations Intern,SecureNet Systems,Agriculture,Mumbai,AutoCAD|Data Entry|Excel|Illustrator|JavaScript|Power BI|SPSS,1 month,8000,Startup,Offline
213,Academic Research Intern,LexGuard Associates,Education,Jaipur,Canva|Content Writing|Excel|Figma|HTML|Research|Tableau|Tally,3 months,12000,NGO,Online
214,Solar Projects Intern,SecureNet Systems,Renewable Energy,Thiruvananthapuram,AutoCAD|CSS|Data Entry|Digital Marketing|Excel|Figma|Research|SolidWorks|Tableau,3 months,12500,Private,Offline
215,Agri Research Intern,NextGen Logistics,Agriculture,Remote,C|CSS|Data Entry|Figma|Networking|Python|SPSS,3 months,13500,Private,Offline
216,Agri Research Intern,SecureNet Systems,Agriculture,Patna,C|Content Writing|HTML|Power BI|SPSS,6 months,14500,Startup,Online
217,Field Operations Intern,LexGuard Associates,Agriculture,Ahmedabad,AutoCAD|Excel|GST|SPSS|Tally,1 month,14500,Govt,Offline
218,Solar Projects Intern,LexGuard Associates,Renewable Energy,Hyderabad,AutoCAD|C++|Excel|Java|Python|R|Research|SQL,2 months,14000,Private,Offline
219,Spatial Data Intern,FutureWave Tech,GIS,Chennai,ArcGIS|Canva|Excel|QGIS|Tally,1 month,14000,Startup,Offline
220,Data Analyst Intern,GreenGrowth Initiatives,Data Analytics,Kolkata,AutoCAD|CSS|Canva|Networking|Power BI,6 months,6000,Private,Hybrid
221,Academic Research Intern,TourEase Travels,Education,Patna,Content Writing|Illustrator|Java|Python|Research|SolidWorks|Tally,2 months,5000,Private,Offline
222,Agri Research Intern (2),SecureNet Systems,Agriculture,Remote,Data Entry|Excel|Figma|Java|QGIS|Research|SolidWorks,3 months,7500,Startup,Online
223,Product Design Intern,CivicLink Foundation,Design,Thiruvananthapuram,AutoCAD|Canva|Figma|JavaScript|R|Tableau,3 months,13000,Private,Offline
224,Solar Projects Intern,CivicLink Foundation,Renewable Energy,Bengaluru,AutoCAD|Excel|Networking|SolidWorks|Tally,1 month,10500,PSU,Offline
225,Travel Operations Intern,NextGen Logistics,Tourism,Mumbai,C++|Content Writing|Digital Marketing|Excel|Illustrator|Java|Networking|QGIS|UI/UX,2 months,15000,NGO,Offline
226,Full Stack Intern,DataPulse Analytics,IT,Pune,Canva|Digital Marketing|Linux|SolidWorks|Tally,2 months,10500,Private,Hybrid
227,Product Design Intern,DataPulse Analytics,Design,Nagpur,C|Canva|Figma|Research|Tableau,6 months,9000,Private,Online
228,Healthcare Data Intern,NextGen Logistics,Healthcare,Ranchi,C|Research|SEO|Typing,6 months,7500,Startup,Offline
229,Data Analyst Intern,AgriNova Collective,Data Analytics,Hyderabad,AutoCAD|QGIS|R|SQL|Tableau,1 month,12000,NGO,Online
230,Academic Research Intern,BrightPath Designs,Education,Pune,Content Writing|Excel|Photoshop|Research|SQL,1 month,4500,Govt,Hybrid
231,Compliance Intern,Skyline Innovations,Law,Gurugram,Content Writing|Tally|Typing|UI/UX,1 month,8000,Govt,Hybrid
232,Finance Analyst Intern,EduBridge Alliance,Finance,Hyderabad,Excel|GST|React|SQL|Tally|Typing,1 month,13500,Startup,Online
233,Policy Research Intern,CivicLink Foundation,Public Policy,Noida,Content Writing|Excel|Linux|Python|SQL|Typing,2 months,13500,Private,Offline
234,Clinical Research Intern,DataPulse Analytics,Healthcare,Hyderabad,Excel|JavaScript|Python|SPSS|SQL|SolidWorks,3 months,9500,Private,Hybrid
235,Finance Analyst Intern,Insight Finance Group,Finance,Guwahati,ArcGIS|AutoCAD|Networking|Power BI|Research|Tally|Typing,1 month,4000,Private,Offline
236,Sustainability Intern,FutureWave Tech,Renewable Energy,Lucknow,ArcGIS|AutoCAD|C++|CSS|Content Writing|Excel|Java|Research,6 months,8000,Startup,Online
237,Civic Tech Intern,MapCraft GIS,E-Governance,Surat,Digital Marketing|Excel|Illustrator|Java|R|SQL,2 months,7000,NGO,Hybrid
238,Solar Projects Intern,LexGuard Associates,Renewable Energy,Patna,AutoCAD|Canva|Digital Marketing|Excel|JavaScript|Linux|Research|SQL,1 month,9500,Private,Online
239,Social Media Intern,NextGen Logistics,Media,Ranchi,Canva|Excel|R|Research|SEO|Tally,6 months,6500,NGO,Hybrid
240,Security Analyst Intern,AgriNova Collective,Cybersecurity,Pune,Canva|Illustrator|Networking|Photoshop|Python|Research|SPSS|Typing,6 months,12000,Govt,Hybrid
241,Operations Intern,HealthSphere Analytics,Logistics,Indore,ArcGIS|GST|HTML|Research|SQL,2 months,13500,Govt,Hybrid
242,Operations Intern,SecureNet Systems,Logistics,Ahmedabad,C|CSS|Data Entry|Excel|Networking|Photoshop|Power BI|SQL,2 months,3000,Private,Hybrid
243,Travel Operations Intern,AgriNova Collective,Tourism,Thiruvananthapuram,Content Writing|Data Entry|Digital Marketing|HTML|Power BI|Python|Typing,6 months,14500,NGO,Offline
244,Academic Research Intern,NextGen Logistics,Education,Remote,Content Writing|Data Entry|Linux|Networking|React,3 months,6500,Private,Offline
245,Agri Research Intern,UrbanRise Solutions,Agriculture,Patna,Digital Marketing|Excel|Python|SEO|SPSS|SQL|Tally,6 months,11500,PSU,Offline
246,Solar Projects Intern,TourEase Travels,Renewable Energy,Lucknow,CSS|Digital Marketing|Excel|HTML|QGIS|SolidWorks|Typing,3 months,6500,Private,Online
247,Product Design Intern,NextGen Logistics,Design,Noida,Excel|Figma|HTML|React|SEO|SolidWorks,2 months,4500,Private,Hybrid
248,Clinical Research Intern,AgriNova Collective,Healthcare,Remote,AutoCAD|C|Excel|HTML|Illustrator|Power BI|Research|SPSS,2 months,11000,PSU,Hybrid
249,Healthcare Data Intern,Insight Finance Group,Healthcare,Guwahati,Canva|Excel|Python|Research|SQL|SolidWorks|Typing,1 month,6000,Govt,Offline
250,IT Support Intern,FutureWave Tech,IT,Jaipur,Figma|Illustrator|Java|SQL,1 month,4500,PSU,Offline
251,Investment Research Intern,CivicLink Foundation,Finance,Ahmedabad,Data Entry|Digital Marketing|Excel|React|SQL,1 month,7000,Govt,Hybrid
252,Full Stack Intern,EduBridge Alliance,IT,Jaipur,ArcGIS|CSS|Figma|Java|JavaScript|React,1 month,9000,NGO,Offline
253,Sustainability Intern,CivicLink Foundation,Renewable Energy,Mysuru,AutoCAD|Canva|Data Entry|Excel|JavaScript|Photoshop|Research|SolidWorks|UI/UX,1 month,7500,NGO,Online
254,Product Design Intern,GreenGrowth Initiatives,Design,Noida,Data Entry|SPSS|Tableau|UI/UX,6 months,8000,PSU,Online
255,Supply Chain Intern,Spectrum Media House,Logistics,Mysuru,Java|Power BI|Python|SEO|SQL,1 month,13000,Startup,Hybrid
256,Legal Research Intern,Innovate Labs,Law,Visakhapatnam,C|Content Writing|QGIS|React|Research,6 months,15000,Private,Hybrid
257,Governance Analyst Intern,FutureWave Tech,Public Policy,Chandigarh,C|Content Writing|Excel|Figma|JavaScript|QGIS|Research|SPSS,2 months,5000,Govt,Hybrid
258,GIS Mapping Intern,Innovate Labs,GIS,Ahmedabad,Excel|GST|Linux|Photoshop|QGIS|Research,6 months,5500,Govt,Hybrid
259,Clinical Research Intern,PolicyWorks India,Healthcare,Bengaluru,Excel|Figma|JavaScript|Networking|Python|SPSS|UI/UX,3 months,10000,NGO,Hybrid
260,Finance Analyst Intern,EduBridge Alliance,Finance,Noida,Excel|R|Tally|Typing,3 months,9500,PSU,Hybrid
261,Finance Analyst Intern,PolicyWorks India,Finance,Indore,C++|CSS|Content Writing|Excel|Java|R|SQL|Tally,3 months,14500,Private,Hybrid
262,Tour Planning Intern,Innovate Labs,Tourism,Kolkata,Canva|Content Writing|Digital Marketing|Excel|Python|UI/UX,6 months,13500,Govt,Offline
263,Social Media Intern,NextGen Logistics,Media,Remote,Canva|Content Writing|Data Entry|JavaScript|Python|R|SEO|SolidWorks|Tableau,3 months,10500,Startup,Offline
264,IT Support Intern,DataPulse Analytics,IT,Visakhapatnam,Digital Marketing|Java|JavaScript|SEO|SolidWorks|Tableau,1 month,7500,NGO,Online
265,Spatial Data Intern,DataPulse Analytics,GIS,Chandigarh,Excel|GST|SPSS|Tally,1 month,4500,NGO,Online
266,Spatial Data Intern,Skyline Innovations,GIS,Kolkata,ArcGIS|AutoCAD|Excel|HTML|Networking|QGIS,6 months,10000,Private,Hybrid
267,Travel Operations Intern,Innovate Labs,Tourism,Visakhapatnam,Excel|HTML|Research|UI/UX,1 month,3000,Private,Online
268,Social Media Intern,NextGen Logistics,Media,Lucknow,Content Writing|GST|HTML|Illustrator|Tally,2 months,5000,PSU,Offline
269,Digital Governance Intern,SecureNet Systems,E-Governance,Remote,Data Entry|JavaScript|Networking|Python|SQL|Typing,2 months,4500,PSU,Hybrid
270,Business Intelligence Intern,TourEase Travels,Data Analytics,Indore,Data Entry|Digital Marketing|Excel|SQL|Tally,3 months,11000,Private,Hybrid
271,Digital Governance Intern,LexGuard Associates,E-Governance,Chandigarh,Excel|Figma|HTML|Illustrator|Python|R|Research,2 months,7000,Govt,Online
272,Graphic Design Intern,DataPulse Analytics,Design,Ranchi,C++|CSS|Canva|Digital Marketing|Illustrator|React,1 month,5000,PSU,Offline
273,Business Intelligence Intern,TourEase Travels,Data Analytics,Jaipur,Digital Marketing|Excel|Linux|Python|QGIS,3 months,8000,Private,Online
274,Governance Analyst Intern,FutureWave Tech,Public Policy,Visakhapatnam,ArcGIS|C|CSS|Canva|Excel|JavaScript|Photoshop|Research,1 month,8500,Govt,Online
275,Digital Governance Intern,CivicLink Foundation,E-Governance,Ahmedabad,AutoCAD|Data Entry|Figma|SQL|Tableau|Tally,6 months,12000,Startup,Offline
276,Finance Analyst Intern,TourEase Travels,Finance,Indore,Canva|GST|HTML|Illustrator|Power BI|QGIS|Typing|UI/UX,1 month,6500,Govt,Hybrid
277,Agri Research Intern,DataPulse Analytics,Agriculture,Bhopal,CSS|Content Writing|Excel|GST|HTML|Research|SPSS|UI/UX,3 months,4000,Govt,Online
278,Tour Planning Intern,Insight Finance Group,Tourism,Thiruvananthapuram,C++|Content Writing|Data Entry|Digital Marketing|GST|Illustrator,6 months,14500,NGO,Offline
279,Supply Chain Intern,EcoVision Energy,Logistics,Remote,Excel|Figma|HTML|Power BI|SQL|SolidWorks,2 months,6000,Govt,Offline
280,Agri Research Intern (2),Skyline Innovations,Agriculture,Bengaluru,Data Entry|Excel|Figma|Power BI|Research,1 month,15000,Govt,Offline
281,Compliance Intern,Skyline Innovations,Law,Bhopal,Canva|Content Writing|QGIS|Research|Tally,2 months,6500,Govt,Hybrid
282,Supply Chain Intern,MapCraft GIS,Logistics,Raipur,Content Writing|Excel|GST|Power BI|React|SQL|Typing,2 months,3500,Govt,Offline
283,Compliance Intern,Spectrum Media House,Law,Bengaluru,Canva|Content Writing|Photoshop|QGIS|Research,3 months,10500,Govt,Online
284,Healthcare Data Intern,UrbanRise Solutions,Healthcare,Patna,Canva|Python|SEO|SPSS|Tally,1 month,11000,NGO,Online
285,Travel Operations Intern,TourEase Travels,Tourism,Gurugram,CSS|Content Writing|Illustrator|Linux|Power BI|R|SolidWorks,3 months,4000,PSU,Online
286,Finance Analyst Intern,NextGen Logistics,Finance,Patna,C++|Digital Marketing|Excel|Python,6 months,7500,NGO,Hybrid
287,Graphic Design Intern,DataPulse Analytics,Design,Visakhapatnam,C++|Excel|Figma|Linux|Python|Tally|UI/UX,1 month,8000,Startup,Offline
288,Security Analyst Intern,AgriNova Collective,Cybersecurity,Mumbai,CSS|Content Writing|GST|Linux|Networking|SPSS|SolidWorks|Tableau,3 months,5500,Startup,Online
289,Civic Tech Intern,NextGen Logistics,E-Governance,Noida,ArcGIS|Digital Marketing|GST|JavaScript|Photoshop|Python,1 month,6500,Private,Online
290,Finance Analyst Intern,Spectrum Media House,Finance,Lucknow,CSS|Digital Marketing|GST|Photoshop|Python,3 months,14500,Private,Hybrid
291,Security Analyst Intern,Spectrum Media House,Cybersecurity,Ranchi,Digital Marketing|Linux|Networking|Photoshop|Power BI|Python|SolidWorks,1 month,6000,PSU,Online
292,Academic Research Intern,MapCraft GIS,Education,Indore,ArcGIS|CSS|Excel|Figma|QGIS|SEO,6 months,12000,Private,Offline
293,Full Stack Intern,Skyline Innovations,IT,Thiruvananthapuram,C|C++|Illustrator|JavaScript|Linux|Networking|React|UI/UX,2 months,4500,Private,Offline
294,Social Media Intern,SecureNet Systems,Media,Gurugram,Digital Marketing|HTML|Java|QGIS|Research|SEO|SQL,3 months,5500,Startup,Hybrid
295,Graphic Design Intern,LexGuard Associates,Design,Indore,Canva|Digital Marketing|Photoshop|QGIS|Research|SPSS|Tally|UI/UX,1 month,15000,Private,Hybrid
296,Field Operations Intern,CivicLink Foundation,Agriculture,Bhopal,Excel|GST|JavaScript|Research|SPSS|Tableau,3 months,13500,NGO,Hybrid
297,Finance Analyst Intern,FutureWave Tech,Finance,Bengaluru,GST|Java|JavaScript|QGIS|R|SolidWorks,3 months,11000,Private,Hybrid
298,Healthcare Data Intern,HealthSphere Analytics,Healthcare,Visakhapatnam,C++|CSS|Canva|Content Writing|Excel|Figma|Photoshop|Python|SPSS,3 months,11500,Private,Online
299,Product Design Intern,EcoVision Energy,Design,Kochi,C++|Canva|Excel|JavaScript|QGIS|R|UI/UX,3 months,10500,Govt,Online
300,Academic Research Intern,LexGuard Associates,Education,Surat,C|CSS|Excel|HTML|Photoshop|Typing,3 months,12000,Govt,Online
301,Governance Analyst Intern,HealthSphere Analytics,Public Policy,Jaipur,C|Canva|Content Writing|Excel|Typing,1 month,15000,NGO,Offline
302,Cyber Risk Intern,DataPulse Analytics,Cybersecurity,Gurugram,Data Entry|Linux|Networking|Python|SQL|Tableau,3 months,13500,NGO,Offline
303,Full Stack Intern,SecureNet Systems,IT,Surat,CSS|GST|Java|SPSS|SQL|SolidWorks|UI/UX,3 months,6500,NGO,Offline
304,Tour Planning Intern,TourEase Travels,Tourism,Jaipur,Content Writing|Data Entry|Digital Marketing|Excel|JavaScript|Python|SPSS|Tableau|Typing,1 month,6500,Govt,Online
305,Operations Intern,UrbanRise Solutions,Logistics,Lucknow,C++|Digital Marketing|GST|Illustrator|Power BI|Research,6 months,8500,PSU,Offline
306,Full Stack Intern,LexGuard Associates,IT,Patna,AutoCAD|Excel|HTML|JavaScript|Research|Tableau,3 months,3000,Private,Offline
307,Academic Research Intern,GreenGrowth Initiatives,Education,Pune,ArcGIS|Canva|Content Writing|Figma|Tally,3 months,9500,PSU,Hybrid
308,Data Analyst Intern,Insight Finance Group,Data Analytics,Visakhapatnam,ArcGIS|Excel|Figma|Power BI|R|SQL,6 months,11500,Private,Online
309,Finance Analyst Intern,CivicLink Foundation,Finance,Nagpur,JavaScript|Power BI|R|Research|SolidWorks|UI/UX,1 month,6000,Startup,Online
310,Compliance Intern,EduBridge Alliance,Law,Thiruvananthapuram,Content Writing|JavaScript|Linux,2 months,8500,Govt,Online
311,Investment Research Intern,FutureWave Tech,Finance,Lucknow,ArcGIS|Canva|Data Entry|Digital Marketing|Power BI|Python,6 months,10500,NGO,Offline
312,Security Analyst Intern,SecureNet Systems,Cybersecurity,Chandigarh,C|Digital Marketing|Linux|Python|SolidWorks|Tableau,1 month,5000,Govt,Offline
313,Investment Research Intern,PolicyWorks India,Finance,Chandigarh,C++|Content Writing|Data Entry|GST|R,6 months,12000,Startup,Offline
314,Full Stack Intern,Innovate Labs,IT,Kochi,GST|Java|Networking|React,6 months,6500,PSU,Hybrid
315,Solar Projects Intern,DataPulse Analytics,Renewable Energy,Lucknow,CSS|Photoshop|R|Research|SPSS,3 months,13000,NGO,Online
316,Product Design Intern,TourEase Travels,Design,Kolkata,Content Writing|Java|JavaScript|Photoshop|SPSS|UI/UX,3 months,3500,Startup,Hybrid
317,Product Design Intern,Skyline Innovations,Design,Thiruvananthapuram,Excel|Figma|HTML|Tableau|Tally,6 months,6000,Startup,Offline
318,Compliance Intern,PolicyWorks India,Law,Visakhapatnam,Content Writing|HTML|Java|Networking|QGIS|React|Research,2 months,3000,Private,Hybrid
319,Tour Planning Intern,Insight Finance Group,Tourism,Lucknow,Digital Marketing|Excel|JavaScript|Linux|Power BI,3 months,9500,Startup,Hybrid
320,Legal Research Intern,HealthSphere Analytics,Law,Surat,Content Writing|Illustrator|Power BI|SEO|SolidWorks,1 month,6000,Private,Online
321,Operations Intern,AgriNova Collective,Logistics,Nagpur,ArcGIS|HTML|Photoshop|Power BI|SQL|Tableau|UI/UX,1 month,6000,Startup,Online
322,Civic Tech Intern,DataPulse Analytics,E-Governance,Bhopal,Data Entry|Excel|GST|Python|Research|SPSS|SQL|SolidWorks,1 month,7000,NGO,Online
323,Field Operations Intern,Innovate Labs,Agriculture,Remote,Canva|Data Entry|Excel|Figma|GST|Illustrator|Java|SPSS|Tableau,6 months,11500,Private,Hybrid
324,Supply Chain Intern,HealthSphere Analytics,Logistics,Visakhapatnam,ArcGIS|CSS|Canva|Excel|HTML|Java|Power BI|SQL|SolidWorks,6 months,15000,NGO,Hybrid
325,Business Intelligence Intern,UrbanRise Solutions,Data Analytics,Patna,ArcGIS|JavaScript|Power BI|Python|Research|SolidWorks,6 months,10000,Startup,Offline
326,Learning Design Intern,PolicyWorks India,Education,Visakhapatnam,ArcGIS|C|Excel|Research|Tally|Typing,3 months,6500,NGO,Hybrid
327,Cyber Risk Intern,BrightPath Designs,Cybersecurity,Thiruvananthapuram,Digital Marketing|Excel|Figma|Linux|Typing|UI/UX,6 months,7000,Startup,Offline
328,Operations Intern,Insight Finance Group,Logistics,Remote,ArcGIS|C++|Excel|JavaScript|Power BI|SQL|Tally,1 month,10000,Private,Offline
329,Policy Research Intern,Innovate Labs,Public Policy,Bhopal,C++|Content Writing|Excel|SQL|Typing,1 month,8000,Startup,Offline
330,Supply Chain Intern,Spectrum Media House,Logistics,Guwahati,ArcGIS|C|C++|CSS|Python|QGIS|SQL,6 months,12500,Govt,Offline
331,Solar Projects Intern,LexGuard Associates,Renewable Energy,Chandigarh,AutoCAD|Excel|Java|Linux|R|Research|SPSS|Tableau,2 months,10000,Govt,Hybrid
332,Software Intern,EduBridge Alliance,IT,Hyderabad,ArcGIS|Canva|Data Entry|QGIS|SQL,3 months,3500,Govt,Online
333,GIS Mapping Intern,HealthSphere Analytics,GIS,Lucknow,C++|Excel|Linux|Python|SEO|SPSS|Tableau,2 months,3500,NGO,Online
334,Tour Planning Intern,Innovate Labs,Tourism,Chennai,ArcGIS|Digital Marketing|Excel|HTML|R|Tableau|Typing,3 months,10000,Startup,Hybrid
335,Content Strategist Intern,HealthSphere Analytics,Media,Lucknow,C++|Content Writing|Digital Marketing|Illustrator|Research|SEO|SQL|Tableau,2 months,12500,PSU,Offline
336,Solar Projects Intern,Skyline Innovations,Renewable Energy,Bhopal,AutoCAD|C|Excel|GST|Research|SolidWorks|Tally,6 months,14500,Private,Hybrid
337,Operations Intern,BrightPath Designs,Logistics,Chennai,Data Entry|Digital Marketing|Excel|JavaScript|Power BI|QGIS|SQL|SolidWorks,1 month,8000,Private,Hybrid
338,Security Analyst Intern,Spectrum Media House,Cybersecurity,Kochi,CSS|Canva|JavaScript|Linux|Networking|Power BI|Python|Tally,6 months,15000,PSU,Offline
339,Business Intelligence Intern,UrbanRise Solutions,Data Analytics,Delhi,C|Data Entry|Digital Marketing|Python|R|SQL,6 months,11000,Startup,Offline
340,Investment Research Intern,LexGuard Associates,Finance,Kochi,Data Entry|Excel|Illustrator|Networking|Tableau,2 months,11000,Govt,Offline
341,Content Strategist Intern,PolicyWorks India,Media,Jaipur,Canva|Content Writing|JavaScript|R|Research|SEO|Tally,2 months,4500,Startup,Online
342,Social Media Intern,BrightPath Designs,Media,Ahmedabad,Content Writing|Data Entry|QGIS|R|SolidWorks|Tally,6 months,12000,Govt,Offline
343,Operations Intern,Spectrum Media House,Logistics,Indore,C++|Digital Marketing|Illustrator|Power BI|Research,3 months,11000,PSU,Offline
344,Product Design Intern,NextGen Logistics,Design,Lucknow,Figma|Illustrator|Photoshop|SolidWorks|UI/UX,6 months,3500,NGO,Hybrid
345,Solar Projects Intern,HealthSphere Analytics,Renewable Energy,Thiruvananthapuram,AutoCAD|Excel|Figma|Networking|Research|Tally|Typing,3 months,9500,NGO,Offline
346,Tour Planning Intern,HealthSphere Analytics,Tourism,Visakhapatnam,Content Writing|Data Entry|Digital Marketing|Excel|SEO|Tableau,6 months,6500,Startup,Online
347,Business Intelligence Intern,NextGen Logistics,Data Analytics,Noida,AutoCAD|C|C++|SQL|Tableau|Typing,3 months,3000,Private,Hybrid
348,IT Support Intern,DataPulse Analytics,IT,Mysuru,ArcGIS|C|JavaScript|Linux|React|Tally,3 months,7500,Govt,Offline
349,Healthcare Data Intern,PolicyWorks India,Healthcare,Indore,CSS|Content Writing|Data Entry|Digital Marketing|GST|Python|Research|SPSS,1 month,10000,Private,Hybrid
350,Operations Intern,FutureWave Tech,Logistics,Mumbai,Excel|Networking|Power BI|R|Typing,6 months,12000,Private,Offline
351,Tour Planning Intern,NextGen Logistics,Tourism,Indore,Canva|Digital Marketing|Excel|HTML|Linux|Power BI,2 months,6000,Govt,Online
352,Travel Operations Intern,EduBridge Alliance,Tourism,Visakhapatnam,Content Writing|Power BI|SolidWorks|UI/UX,3 months,3000,PSU,Online
353,Content Strategist Intern,FutureWave Tech,Media,Hyderabad,C++|Canva|Linux|Research|SEO,2 months,10500,NGO,Online
354,Travel Operations Intern,UrbanRise Solutions,Tourism,Guwahati,C++|Content Writing|Data Entry|Digital Marketing|Excel|Figma|GST|SEO|SPSS,3 months,9000,Startup,Offline
355,Governance Analyst Intern,GreenGrowth Initiatives,Public Policy,Noida,AutoCAD|Canva|Content Writing|Data Entry|Excel|HTML|Research|UI/UX,3 months,14000,PSU,Offline
356,IT Support Intern,EduBridge Alliance,IT,Remote,C|C++|CSS|Canva|Data Entry|Excel|JavaScript|React|UI/UX,1 month,4000,Startup,Hybrid
357,Product Design Intern,FutureWave Tech,Design,Delhi,AutoCAD|Canva|Data Entry|Figma|Java|UI/UX,2 months,10500,Govt,Online
358,Academic Research Intern,AgriNova Collective,Education,Pune,C|Content Writing|Excel|Research|SQL|Typing,6 months,13000,PSU,Hybrid
359,Field Operations Intern,GreenGrowth Initiatives,Agriculture,Surat,HTML|React|SEO|SPSS|SolidWorks|Tally,2 months,9000,Govt,Offline
360,Travel Operations Intern,Spectrum Media House,Tourism,Thiruvananthapuram,CSS|Canva|Content Writing|Digital Marketing|Excel|R|Research,3 months,12500,PSU,Offline
361,Agri Research Intern,NextGen Logistics,Agriculture,Bhopal,C++|Excel|JavaScript|Networking|Python|Research,1 month,9000,NGO,Hybrid
362,Solar Projects Intern,GreenGrowth Initiatives,Renewable Energy,Nagpur,AutoCAD|Content Writing|Excel|Illustrator|Python|UI/UX,6 months,9000,Govt,Offline
363,Supply Chain Intern,LexGuard Associates,Logistics,Bengaluru,ArcGIS|Content Writing|Excel|Tableau|Typing,1 month,5500,PSU,Offline
364,Spatial Data Intern,EcoVision Energy,GIS,Mysuru,ArcGIS|Photoshop|Power BI|QGIS|SPSS|Tableau|Typing,6 months,5500,PSU,Hybrid
365,Data Analyst Intern,BrightPath Designs,Data Analytics,Pune,Excel|Figma|HTML|Photoshop|Python|R|SQL|Typing,3 months,9000,Private,Online
366,Cyber Risk Intern,Innovate Labs,Cybersecurity,Pune,ArcGIS|Canva|Illustrator|Java|Linux|Networking|Python|R|Research,2 months,7500,PSU,Offline
367,Policy Research Intern,PolicyWorks India,Public Policy,Raipur,Content Writing|HTML|JavaScript|React|SQL|SolidWorks,2 months,14000,Private,Online
368,Graphic Design Intern,EduBridge Alliance,Design,Gurugram,Canva|Illustrator|Python|R|React,2 months,6000,NGO,Online
